Company Size,Sector,Rating,IT HR Spending (USD),Software Licenses (USD),Cloud Services (USD),Hardware Costs (USD),Telco Costs (USD),Total IT Spending,Total Revenue,IT Spending as % of Revenue
Small,E-Mobility,Normal,168683.4525,240598.1631,297359.1495,196145.9008,81231.52133,768384.6771,6318068.909,10.99337605
Large,Circular Economy,Normal,22220.3728,40254.99624,27178.26625,27689.26127,16192.25478,29788.68901,345904.0479,8.495654557
Medium,Circular Economy,Low,217229.9405,241203.2185,291440.4734,94156.88065,78703.68853,167037.8258,3576659.816,3.988520507
Small,Renewable Energy,Normal,105060.1454,226508.8101,238580.8409,215013.2064,54584.93605,804084.8793,7450966.841,10.97205957
Large,Circular Economy,Normal,25882.95513,62568.79361,77761.71673,59730.23871,26301.7677,176263.6622,1583372.291,11.08835747
Medium,Renewable Energy,Normal,129157.5297,100470.4113,139259.8586,72212.83908,51470.00966,115843.9215,1166432.64,9.298018342
Small,Circular Economy,Low,95697.81672,118456.3977,215946.8043,99724.73295,78223.31511,106799.4915,5267801.176,1.896088883
Small,E-Mobility,Low,282698.8703,169555.2861,209384.4695,106134.0097,122224.3506,123773.117,4342289.438,3.253132208
Small,Renewable Energy,High,24194.00293,25285.89063,38799.43509,12868.98098,8166.706762,62302.92591,227152.4182,29.35541571
Small,E-Mobility,Normal,65152.83357,96586.96466,93231.12636,58639.33976,16033.48068,57383.18899,569269.244,9.327057321
Small,E-Mobility,Normal,194883.3159,243399.8083,247099.3935,142841.3557,76385.27072,655832.3079,4679011.297,13.56029542
Small,E-Mobility,High,25680.97562,71713.11505,48033.18046,26169.60374,10006.8813,322489.6076,1563902.902,21.28638214
Small,Circular Economy,High,81293.98888,190553.4935,153523.4844,136421.2908,87745.60202,245306.209,973933.4592,25.66583187
Small,E-Mobility,Normal,110096.9218,160632.2227,198096.1715,52201.29135,35354.22055,282047.274,2077669.328,13.18040913
Small,E-Mobility,High,282325.3478,309796.6533,302694.6349,145040.2648,113411.6681,645953.005,2561558.082,22.88027271
Small,Circular Economy,Low,118024.7727,113925.4164,153763.4737,157793.366,58692.52074,81263.37152,5882780.08,0.950153419
Medium,Circular Economy,Low,57108.63771,86574.15571,86183.91657,53870.6463,17197.53862,75273.15909,1226237.264,6.206461592
Small,Renewable Energy,High,-17836.08715,-17902.8921,-20218.01043,-17742.45051,-9854.788287,-117877.4699,-425370.3692,27.37895044
Small,Circular Economy,Normal,197431.2448,293702.0762,362191.5196,97262.74605,53643.7146,491920.1901,4031362.645,12.44501499
Small,Circular Economy,Normal,64453.27451,73996.88417,79663.67736,40833.92756,34924.89764,290855.6977,2281345.677,12.58193083
Medium,Renewable Energy,High,192943.2379,206739.2486,191500.401,151332.0821,46736.83964,1312865.446,6263006.292,19.66400542
Small,Renewable Energy,Normal,59470.43481,111678.1257,112629.6281,80197.26793,44364.80672,216218.0691,1826201.255,11.62257728
Small,Renewable Energy,Normal,61027.51094,180497.075,130082.1458,138927.2999,61319.62038,427946.586,4428191.546,9.941172534
Small,E-Mobility,High,75051.53991,112838.9126,162724.9864,57920.94918,75221.89042,791889.66,3480202.194,25.01878469
Small,Circular Economy,Low,11526.98457,14876.89109,13102.91577,11219.0014,6134.575496,6269.75426,370344.4243,0.904132556
Small,Circular Economy,Low,7299.882207,15345.49482,17017.6702,13974.85851,8376.839668,23638.60969,567282.3593,3.705774719
Small,Renewable Energy,High,185431.0489,278535.0923,267655.0855,117012.0235,129793.5561,1024798.456,5215516.379,20.33627789
Large,Renewable Energy,High,86773.56671,108257.2665,258436.0909,121795.0402,58810.01363,555019.4443,2442350.888,22.15241623
Medium,Circular Economy,Normal,174635.6193,123619.307,202592.114,149903.7485,54097.8917,307967.9172,2486164.615,14.73970744
Medium,Renewable Energy,Normal,175265.6363,127170.7863,223759.6673,125169.4553,74560.44904,386414.9326,4859037.179,9.435063197
Large,Circular Economy,Normal,64148.11491,134856.197,141791.8979,54127.96811,50903.30317,461214.8489,3731271.688,13.46745963
Small,Circular Economy,High,50413.12654,105742.7452,119231.101,59423.76753,44397.40687,444319.9912,2181436.948,20.7287832
Small,Circular Economy,Low,39538.37786,64792.32241,64495.57523,41319.83511,26103.19974,24886.92479,2270935.216,0.995845534
Small,Renewable Energy,Normal,164462.2947,256376.0979,244837.3948,106002.7415,80800.34354,469643.5236,4165469.173,11.35688506
Large,Circular Economy,Normal,7888.247726,25540.77581,23288.6087,18698.35264,9449.471736,74500.65775,658155.8056,11.64935941
Small,E-Mobility,Normal,107976.1605,77268.93665,137537.6678,54594.05901,49756.78085,117482.811,990613.4083,12.34880345
Small,Circular Economy,High,49985.74697,114940.5779,136722.8027,49766.36649,35678.12654,467284.9262,2086753.057,25.2811787
Small,Renewable Energy,Normal,136422.7573,170189.3167,169176.0887,75970.34121,75550.86109,212431.2384,1559589.422,15.00891033
Small,Circular Economy,High,77611.36682,127970.827,213413.2403,104639.8489,63512.69782,543838.1126,2587643.197,21.40591554
Large,E-Mobility,High,99547.95999,194961.1429,228151.5364,78505.40647,72223.80673,417640.2693,1730365.994,25.63115712
Medium,Circular Economy,Normal,122347.1888,186961.9071,251700.9782,108312.6159,33855.42418,179451.4128,1191437.012,13.89700235
Medium,E-Mobility,Normal,34751.60821,101566.6158,85624.0881,77106.92338,24365.8184,62254.17646,611259.6361,10.63885676
Small,E-Mobility,Normal,77282.871,141061.1292,118898.3603,104333.6058,54793.53841,431306.164,4920267.907,8.3495959
Small,Circular Economy,High,226086.1717,179946.2975,196252.2772,186534.5057,66368.07075,679848.7644,3925115.729,19.07451728
Small,Renewable Energy,High,114814.9829,192255.5583,191586.3996,123542.313,60663.10749,498322.2085,2436228.844,23.21044362
Small,Circular Economy,High,92817.81212,94839.33032,167334.1321,105925.7822,25619.69076,505187.0959,2231857.668,21.08230152
Large,E-Mobility,High,35088.64374,60483.55003,63192.76147,24968.81666,11524.35417,118403.2303,585618.361,17.36821146
Medium,Circular Economy,High,56026.56803,147372.8553,174519.3008,101869.6529,59065.68008,556681.2754,1933105.688,26.30698513
Small,Circular Economy,High,161796.6195,213708.8619,237519.7031,172904.3188,81559.96697,1313506.575,5890144.497,25.08595445
Large,Renewable Energy,High,155008.2699,201204.6886,165405.9692,129020.1493,68704.20748,1160827.499,4459448.709,23.7290319
Small,E-Mobility,High,110063.8131,121185.1239,185153.971,62235.8469,65706.73033,447485.197,2535448.101,19.29278657
Large,Renewable Energy,High,120184.1648,97749.76635,120316.8492,101647.6366,46737.11691,413919.2937,2131661.229,18.33127949
Large,Renewable Energy,High,120156.1265,184877.7024,214386.1647,160660.638,69511.91784,1594627.434,6807212.015,24.62888421
Medium,Circular Economy,High,11195.61484,28541.46798,33049.9343,14280.24979,11322.97686,87781.11302,453014.4542,19.93276969
Medium,Circular Economy,Low,119233.6907,133814.7287,122514.0338,101511.403,32411.2245,76420.70361,2182585.393,2.987611114
Medium,E-Mobility,High,-11149.96849,-27197.04834,-35173.14817,-21388.55252,-10411.07999,-97150.05964,-370857.1764,27.00095935
Small,E-Mobility,High,75051.57862,97922.49622,167363.2854,49989.23158,50545.92289,626762.417,2470796.275,24.99254833
Medium,E-Mobility,Normal,118159.4936,87728.06808,167659.8054,111536.2288,53687.64174,296778.6781,2344335.746,12.82085654
Medium,E-Mobility,High,217025.8131,141192.0266,317489.8783,101765.3243,109994.9264,701265.8597,2530620.374,30.75368375
Small,Renewable Energy,Low,24477.1459,77846.81426,48677.75588,52212.01557,35084.85295,74134.78963,1160246.665,6.986299591
Small,E-Mobility,Normal,44799.47285,57738.10167,63964.42434,66233.88212,15365.19326,118922.7889,933838.5924,11.68734073
Small,E-Mobility,Low,159047.2263,135327.092,198013.4095,154741.8346,91452.97803,253628.8766,5681542.101,3.788700586
Large,Circular Economy,High,57574.70939,165471.2609,169576.879,129925.4577,42925.78569,1434864.739,5245261.258,29.50531016
Small,Renewable Energy,Normal,56092.87023,82823.57377,110979.4395,44326.85538,45665.07399,136362.4323,1324771.81,10.5236382
Small,E-Mobility,High,207891.3212,114219.7557,208669.8974,154626.5221,77070.44279,578704.318,2906911.402,22.94978101
Medium,Renewable Energy,Normal,81761.55051,89524.67021,133553.4804,73266.40271,29614.37728,301818.8896,3072594.256,8.99299661
Small,Circular Economy,Normal,-816.4149572,-768.6494134,-1228.247831,-472.2786162,-208.162375,-4141.078283,-25597.2267,12.78431329
Small,Renewable Energy,High,125363.6802,107687.4845,115830.569,53456.83969,27704.8111,1245400.098,5143268.293,24.19784107
Medium,Renewable Energy,Normal,57585.53158,83481.65182,212553.8835,101395.3785,69592.17302,158867.5041,1914694.161,8.718337792
Small,E-Mobility,High,156288.6173,157834.8968,186893.9063,74091.41954,75797.60845,389583.3213,1440499.164,27.58153034
Small,Renewable Energy,Low,114619.1578,138502.3689,126370.5029,97072.31073,53021.82204,94976.83454,1581163.033,5.030560751
Small,E-Mobility,High,69605.92233,107463.0107,156414.3935,102939.892,48325.85253,451651.2055,1781448.643,25.45534752
Small,Circular Economy,High,140877.9329,92890.11317,194327.0005,112167.7472,68285.98313,682882.2004,3779045.155,16.29907979
Medium,E-Mobility,Normal,42970.24579,57869.72491,135866.9786,64658.56423,46051.91952,122788.4464,984097.6154,10.41765992
Large,Circular Economy,High,43157.55089,61147.73598,103762.3166,71879.23649,25793.36502,404531.3615,1926726.85,19.28448701
Large,Circular Economy,Normal,38866.22074,24785.35873,39712.88659,19468.52356,9318.50725,130299.4003,1161916.038,11.61682457
Large,E-Mobility,High,85762.44937,131557.5108,273441.6424,172096.699,48728.59959,1711753.262,6746835.602,24.17371868
Medium,E-Mobility,High,54053.38861,69016.58723,48089.15807,38712.21384,20248.12013,333702.2386,1216772.858,25.33057968
Small,Renewable Energy,Low,113766.7471,112822.3215,167826.8954,53903.58717,45628.81228,55965.91413,3250712.409,1.954330238
Small,E-Mobility,Normal,23478.30329,17418.93727,25343.12556,18189.66219,15359.87317,78666.73202,641454.5144,13.22034578
Small,Circular Economy,High,83134.02742,129265.0076,119713.6199,52088.43266,25359.35678,626707.3331,3280977.534,17.38781207
Small,Renewable Energy,High,178425.6059,230919.3756,243111.7212,129682.2325,49300.22066,1717747.321,7944603.857,18.65087781
Small,E-Mobility,High,48995.01507,61490.52179,78697.07536,38270.63295,26831.2894,217375.4507,1091336.899,19.97055345
Small,Renewable Energy,High,126328.4914,133694.0144,303517.1331,136992.2375,114690.2144,891796.495,5819804.269,18.22091283
Medium,Renewable Energy,High,83170.54078,133103.6615,152773.6418,60624.494,53633.66682,697785.5481,3147690.588,21.79228548
Small,Circular Economy,Normal,32138.77056,67184.65105,63432.67638,51060.19918,13499.95125,191517.45,1385844.058,14.27077632
Medium,Circular Economy,High,61142.20182,45529.9548,81909.31721,28353.27026,16803.18598,449143.9594,2049023.385,21.50472127
Small,Circular Economy,High,133640.7075,169728.2895,198139.1767,97842.55288,63628.9876,561882.5651,3447259.481,15.39519678
Small,E-Mobility,High,161301.1798,150614.8684,162102.5455,111101.6511,69767.05225,474418.3883,2534731.458,18.20153419
Small,Circular Economy,Normal,84514.29655,118320.4772,118971.9756,43250.2764,30223.53829,211851.8081,2510764.471,8.124063621
Medium,Renewable Energy,Normal,44822.46631,125199.7738,122555.1306,52506.57507,47377.14885,388135.1343,3077842.128,13.21745067
Small,Circular Economy,Normal,70760.23388,106561.7786,184370.1682,57360.00514,34145.13029,252013.6735,2928306.461,9.69263874
Small,Renewable Energy,High,18444.16566,28108.83877,47765.97747,26317.87525,15523.57808,95239.92872,470400.3821,22.88613604
Small,Circular Economy,High,80892.31557,121531.5347,142028.0464,40475.36329,56618.57052,283456.4997,1209823.184,24.42994252
Medium,Renewable Energy,High,154004.3381,147992.081,172249.5581,140192.1071,31118.53822,688031.0625,2731329.91,27.47970656
Medium,E-Mobility,Normal,30113.76169,32957.98259,58261.60955,30906.56039,22591.33473,202407.0784,1532893.356,11.82397599
Small,Renewable Energy,Normal,172843.2089,185668.4197,150426.5533,66568.4689,85150.30353,605126.0673,4800633.176,13.41296398
Small,Renewable Energy,High,140963.5523,223666.8966,154314.7719,98350.73188,35613.96389,231107.4838,1376440.624,17.89409943
Small,E-Mobility,High,52381.60296,89414.70371,88240.5117,71399.98746,23634.09008,996313.758,3172995.566,28.33957277
Small,E-Mobility,Low,141475.2296,96363.38211,150120.7858,54806.94112,25976.98873,26453.26565,2486523.026,1.012247855
Small,Circular Economy,High,60139.69747,83033.81769,78866.92678,87322.56848,16694.2858,353540.5611,1855129.556,18.42717014
Small,Circular Economy,High,72144.09076,85329.0425,96292.56706,64784.45451,48248.86431,174461.8647,627366.0445,26.91986937
Medium,E-Mobility,Normal,161519.9605,239487.7204,184048.6566,104046.4929,63746.57841,117884.1274,1390866.257,8.471301139
Medium,E-Mobility,Low,250568.6438,160684.9643,219778.2382,181970.7256,56007.15849,131414.7043,7663227.516,2.040813591
Small,E-Mobility,Normal,134300.1434,189327.3577,142783.6889,145292.5416,89844.34474,520894.8747,6318164.316,8.38096466
Small,Circular Economy,Normal,95429.82058,151091.2073,223116.6662,131034.9598,30148.89862,236539.2408,2395134.953,10.739495
Small,Circular Economy,Normal,125984.8074,148611.7015,168097.3884,47843.38965,56137.4899,430904.9192,3982858.506,13.765829
Medium,E-Mobility,High,18670.06844,41743.67019,55741.72973,23594.70718,14719.90864,361633.608,1243938.228,27.97806293
Small,E-Mobility,Normal,93564.29093,75387.77199,96535.84185,80166.3106,24833.03839,393127.7079,3082985.551,13.42157238
Medium,Renewable Energy,High,65458.04699,131945.5367,145460.1274,70087.63102,25494.70298,491214.3238,1547043.297,32.09315112
Medium,E-Mobility,Low,125988.1054,90269.05251,176596.8541,134111.2596,62849.15657,170340.2639,4710894.677,4.048360414
Medium,Circular Economy,High,13104.92742,20410.10476,29730.14249,17529.07098,15184.51643,150858.9912,753774.1381,21.31647742
Small,Circular Economy,High,90579.39252,158515.4825,233901.3205,73973.95127,54564.69546,477121.3711,2867738.533,17.96707796
Small,E-Mobility,Normal,69472.39549,106091.8831,137309.8726,93685.94679,52571.36346,676012.7708,5213688.27,11.870427
Small,Circular Economy,Normal,76915.92572,101116.5991,110278.9321,49416.83616,33753.98478,292602.8791,2211036.772,14.01263308
Small,E-Mobility,High,172003.2632,115740.8738,201080.443,161265.8246,80507.94128,518400.7974,2346525.927,22.27120828
Small,Renewable Energy,High,158090.1084,162038.5973,408830.8397,159866.4588,147870.9205,608459.8623,3726141.713,15.520288
Small,Circular Economy,High,34585.32742,37872.76718,44894.48797,40591.41132,23082.3679,98039.20963,330423.3598,29.59733185
Small,Circular Economy,High,95261.67795,111188.184,139723.8059,63924.0595,20936.52405,785504.4007,3283642.031,27.10706836
Small,E-Mobility,High,49391.50738,50695.44262,37419.22405,34611.26993,14581.96445,272783.7158,1366040.819,19.09031956
Medium,E-Mobility,Low,69803.34423,91807.23109,104044.2261,40963.00216,22148.38443,30572.89126,761532.3754,3.909739427
Small,Circular Economy,Normal,129773.4263,123724.3921,188368.0377,101100.1134,31440.87928,505193.2943,3292408.453,13.28746196
Small,E-Mobility,Normal,107022.2911,141393.4908,200200.2585,132545.1247,58920.11432,311388.8746,3522977.403,8.630025477
Small,Circular Economy,Normal,60149.64357,79971.19549,56296.9294,63749.43216,15214.96378,148686.3623,1289414.758,13.0986763
Small,Renewable Energy,High,181413.4098,132338.0174,247254.9981,181522.7607,78411.19886,1007905.612,4996226.383,20.05452912
Large,Renewable Energy,High,64113.37787,167931.2922,182795.4622,58283.02099,46702.77192,710171.2893,3541486.459,20.3484829
Medium,Circular Economy,High,83432.13055,98873.85351,112554.83,82832.50066,25743.8924,667567.693,3551132.081,20.03874912
Small,E-Mobility,Low,75060.66505,125897.5389,106849.695,54827.24202,40572.11728,80313.93435,1335101.755,6.037937766
Small,Circular Economy,Normal,78007.64699,49650.76956,110036.5888,63031.57115,31402.98822,126633.1811,1029301.644,10.72342219
Small,E-Mobility,High,50129.88332,76186.09944,148534.7621,92770.51702,33665.06119,642867.1221,2343607.539,28.59146901
Small,Circular Economy,High,147702.4293,251734.2523,256482.0995,143470.9226,53586.56404,887329.448,3271062.737,26.63895287
Medium,Renewable Energy,Normal,131788.3034,179125.9885,152221.7622,99220.43715,62136.2245,563819.9085,5990745.796,9.388831492
Small,Renewable Energy,Low,73760.65968,125936.8046,170371.1176,146183.084,40301.35485,148714.5547,2832906.105,6.091840366
Small,Renewable Energy,Low,42271.95712,112397.5845,79109.12953,72284.80277,31482.47472,74424.87533,1952779.236,3.953788093
Small,Renewable Energy,High,93238.60048,67532.51869,126172.2354,91344.69772,44521.78665,349391.2218,1420812.19,22.56975035
Large,Circular Economy,Low,166908.541,177102.9283,274580.0558,96635.37936,98509.19568,133319.3618,3577060.236,3.291529332
Small,Renewable Energy,Normal,-26711.05932,-21726.3559,-48486.08083,-22971.2608,-16903.88273,-42828.70492,-389347.9329,11.54419619
Large,E-Mobility,High,109780.3628,127475.3343,108053.8168,95777.02033,55692.03741,171354.042,716279.9167,25.82955793
Small,Renewable Energy,Low,47648.4705,36619.64823,49860.98985,32795.57175,15047.26543,17765.8008,267266.9215,6.317869672
Small,E-Mobility,High,116392.7855,64274.87581,118333.4514,68094.56686,29742.55822,482248.7213,1911722.434,26.25037133
Medium,Renewable Energy,High,46842.486,43427.53569,53179.45174,25599.12919,26116.93729,288659.8865,1936934.678,16.83041002
Small,E-Mobility,Normal,41432.79986,120880.1903,92929.87862,80888.97862,33998.78457,340899.3687,4072345.906,10.3821066
Medium,Renewable Energy,Low,85283.98679,82583.10119,174308.7104,87104.81909,45915.69367,93243.01735,4005973.079,2.172796384
Small,Circular Economy,Low,156442.4373,176012.6302,156224.6508,70140.88603,54699.48897,155414.2385,3029235.854,4.882663383
Large,Renewable Energy,Low,58223.97254,60453.72591,58339.55357,46852.76558,16218.68371,27090.20607,1459348.912,1.871413598
Medium,Renewable Energy,Low,78159.63793,188083.0279,164416.1479,129925.8947,76579.45967,115259.0346,5209286.667,1.949451024
Medium,Circular Economy,Low,1075.316196,1762.625095,1250.178415,813.8364346,564.1653497,278.552639,12683.63182,2.020885354
Small,Renewable Energy,High,97566.37227,280559.7826,277358.0811,76794.65933,49526.85949,725914.6382,3666949.855,21.06112336
Medium,Circular Economy,Normal,162054.8095,114131.5675,161071.4896,104445.6388,78400.57405,638771.0027,4906528.495,14.70492158
Medium,E-Mobility,High,211109.1115,192142.88,219416.2294,121746.3078,99972.96166,1853604.247,6617431.173,27.13620381
Small,E-Mobility,High,85431.53283,190082.1238,203962.3965,115503.6591,86434.13984,1342221.306,4799453.332,27.63515204
Small,Circular Economy,Low,174831.5421,195191.4824,208290.6657,100012.8573,32658.88489,34963.98189,2522501.094,1.098617224
Medium,Circular Economy,High,38949.83754,65568.57218,79176.64667,47239.71432,24190.49044,446467.2958,1605417.39,25.58031405
Large,Circular Economy,Normal,84927.46649,94609.08741,80094.44887,44021.4099,23394.35063,321899.4422,3317703.182,11.33502454
Small,Circular Economy,High,58899.50342,116978.1996,96608.62444,46761.80385,43889.55764,299535.6065,1680760.711,18.51520078
Small,Circular Economy,Normal,156854.7377,131366.3873,284486.7548,161494.1882,37792.44151,146104.4145,1201362.422,13.25808034
Medium,Renewable Energy,High,28228.83781,39312.87267,39274.62077,42556.90765,24108.93285,149165.2499,905666.1547,19.88508267
Small,Renewable Energy,Normal,47257.93945,56455.30153,99465.56148,82487.38899,31534.37588,161781.2972,1071159.593,14.27676158
Large,Circular Economy,Low,192177.9528,163956.3257,261671.9716,190787.4969,111015.788,81613.10053,1271010.99,6.890562991
Small,Renewable Energy,Low,47648.6089,142813.697,172272.904,97278.1979,40174.66615,258160.7735,4195022.575,5.761203327
Medium,Circular Economy,Low,94719.90378,105254.7259,95978.13204,82518.79418,24924.24624,88901.77713,1521041.729,5.925307903
Large,E-Mobility,High,22559.37336,44257.53265,46905.978,38630.12617,11564.36577,340570.5358,1735865.413,21.32983597
Medium,Circular Economy,Normal,96203.28362,171335.2306,185952.8509,166728.1743,81791.67649,257801.7722,1761110.947,13.77874193
Small,Circular Economy,Normal,134916.9084,112628.7099,121048.1399,64460.8783,60281.61776,226873.6227,1822034.334,13.20432014
Medium,E-Mobility,Normal,51335.87105,86325.91868,69040.01673,73589.42143,23139.50777,296494.5395,2447866.761,14.30740509
Small,Circular Economy,Normal,224349.3878,209731.9301,296214.1741,96188.18028,86068.16621,883332.9895,7740920.933,13.54156663
Small,E-Mobility,Normal,191735.9831,290693.2382,325840.051,200942.4628,125516.2123,652611.6612,7006260.881,9.577257736
Small,E-Mobility,High,52118.12262,29774.6745,53659.58882,26685.03388,19246.9799,177964.2886,645598.1796,27.10531001
Small,E-Mobility,Low,188614.2753,172097.3595,162263.4112,94765.19616,54361.51276,181275.5169,2408237.731,6.542278202
Medium,Circular Economy,High,85692.84195,125360.0007,107024.7176,64396.44498,40410.16841,352017.0629,1549235.163,21.62038549
Small,E-Mobility,High,58556.91605,51881.6926,77567.04248,60454.15392,29340.16275,349101.2822,1751861.726,20.04406257
Large,E-Mobility,High,79747.28544,107755.9158,136534.3213,98944.64249,57350.80092,399336.3183,1529011.706,23.61350062
Small,Circular Economy,Normal,18839.12881,58766.81127,42674.93788,50631.37568,17175.07126,109163.443,1290507.732,8.555465808
Small,E-Mobility,High,138708.3488,271059.358,178583.6963,99684.77234,124332.3272,1242733.054,5484461.544,20.14237791
Small,Circular Economy,High,142549.9154,165415.1695,209901.979,110063.2775,63640.68924,390514.2713,2085495.768,22.41948812
Small,Circular Economy,Normal,55271.41695,66734.68189,46101.29088,34649.92426,19190.92425,134862.2059,1335649.224,9.614486908
Small,Circular Economy,Normal,81864.30466,200099.1326,145704.1437,160681.4949,94387.06396,524061.8298,5267604.655,10.65342144
Large,Circular Economy,Normal,80750.25131,113374.6452,95870.16437,42497.1249,38634.32981,366436.757,2548737.811,14.40182935
Small,Renewable Energy,Normal,270390.8738,172715.3938,295928.7659,156626.0586,73257.20388,392469.2094,3182905.362,11.93408153
Large,E-Mobility,Low,73288.754,55312.35371,97975.89281,31013.95964,20319.08966,44502.77689,1797979.519,2.97238697
Medium,Circular Economy,Normal,12479.70071,14177.5812,27794.03496,12070.50886,12032.2194,26295.62272,277106.2616,9.613903806
Small,E-Mobility,High,117264.6181,125686.9929,136957.7439,59921.38303,40418.97737,955074.4726,3513721.925,31.41512466
Small,E-Mobility,High,216640.3796,239966.1114,300025.7786,193271.8712,132442.549,2467699.922,9223780.838,28.45552494
Small,Renewable Energy,Normal,60754.38997,95188.55421,180494.8388,100071.3818,44720.36871,517374.6685,3887667.987,13.45465176
Medium,Renewable Energy,Normal,2953.659399,2735.147502,3794.958162,1077.875118,1499.486322,7683.319008,70181.57358,9.968745937
Small,Renewable Energy,Normal,50793.75055,94895.73481,103620.456,87421.32032,50850.17286,228040.2142,1553554.081,14.82599197
Small,E-Mobility,Low,60431.31431,89971.92058,140880.6683,82715.14741,45842.11962,44464.74387,2666990.128,2.105221116
Small,E-Mobility,Normal,20634.54127,56784.52978,68794.30834,22776.52493,13747.88832,50059.27882,385748.4897,13.06333217
Small,Circular Economy,Low,46367.83932,154709.9248,117451.7507,67627.32514,42863.80177,76929.78778,3584644.778,1.977305753
Small,E-Mobility,High,59737.07768,56577.27674,91913.71004,49444.65626,20037.09484,512737.6203,1908959.416,26.52000001
Small,Renewable Energy,Low,215897.6597,232518.7694,183144.7494,185430.3384,77292.00866,120917.1436,2365498.586,5.572197665
Small,E-Mobility,Low,59714.34446,121018.3747,113146.3647,46904.63773,48506.15009,174717.2756,3124117.378,4.559190825
Small,Renewable Energy,Low,109945.3569,112343.3419,106203.8639,65571.2029,34902.42318,69020.41773,2083244.237,3.117304108
Small,Renewable Energy,Normal,92280.65738,72050.79183,90716.99385,84583.79896,52994.28175,282548.4041,3667019.25,8.589772214
Small,Renewable Energy,Normal,94840.89279,78163.41032,157033.847,108050.9899,43446.23683,250534.1423,2928710.137,8.991036722
Medium,Renewable Energy,Normal,50242.04265,78055.89906,81505.28078,71555.96123,52743.93687,224455.1323,1971473.002,11.85127193
Large,Renewable Energy,High,131322.1172,219774.1449,304856.7162,172333.7145,98917.14097,1127478.996,4869373.101,21.52884992
Large,Renewable Energy,Normal,161893.4566,251413.9778,169045.527,165425.8066,57206.17361,266881.7808,2251052.909,11.99372092
Small,Renewable Energy,Normal,77401.34685,77190.27958,71311.59906,34849.55316,25088.81565,228044.9989,1710314.684,13.2060802
Small,E-Mobility,Normal,38933.72147,57003.35124,59208.01041,22681.56386,22594.30958,144892.1727,1257418.77,12.61750826
Medium,E-Mobility,Normal,229898.6484,131749.9492,240515.7698,123788.2626,88329.99477,626224.4317,7652454.178,7.282342596
Small,Circular Economy,Normal,282497.5829,156107.3325,362375.0789,237322.1571,126070.731,468260.8124,3233344.303,14.37783516
Large,Circular Economy,High,93551.69067,180987.7217,152741.3549,62434.61924,30670.04295,577735.9256,2195050.604,23.60815698
Small,Circular Economy,High,94617.99938,82027.19313,71792.06259,80196.27208,31535.03155,380830.9037,2185745.601,17.88762135
Medium,Renewable Energy,High,248153.5271,275497.1693,329200.8665,100471.9905,53342.94812,642616.8716,3462791.136,21.21250254
Small,E-Mobility,High,57343.22655,53423.20966,111004.3011,42422.09967,25909.04637,623671.0659,2720327.445,23.05381114
Small,E-Mobility,Normal,54057.67578,83856.38985,134555.2448,41927.76473,24065.26785,91425.48057,1035300.719,9.01787122
Medium,E-Mobility,Normal,40268.04146,39624.83736,62328.57526,35414.45584,16491.90263,229819.7761,1561235.8,12.07513001
Small,Circular Economy,Low,67312.89164,102059.8665,104398.9141,65737.89935,21113.62435,77298.56632,1936951.652,4.092254417
Medium,Renewable Energy,High,230778.9184,238064.0916,233233.8529,84245.52476,91217.80604,936628.4396,4538043.149,19.07564267
Small,E-Mobility,Normal,133044.7591,138761.7246,127745.0674,140794.0825,56467.02075,638636.4908,5013610.043,11.72940359
Small,Circular Economy,High,50823.59317,57566.01842,52561.57317,35376.62882,19922.87332,80127.50949,406203.269,20.29394939
Small,Circular Economy,High,177381.6832,98518.5411,219569.0832,140852.9977,58201.55813,774240.505,3685904.273,19.22745789
Small,E-Mobility,Normal,89881.04325,120758.0526,165942.9852,56495.94287,28760.65705,95842.71439,915776.2639,9.971018
Medium,E-Mobility,High,53751.80307,125736.7205,127744.995,69498.03226,55707.86247,519369.5155,2739892.392,17.56186102
Small,E-Mobility,High,186707.9958,230025.477,135289.1435,89060.66971,43217.37654,1077128.856,6052106.893,18.56778804
Small,E-Mobility,High,2102.616351,2463.015447,2702.3858,1393.062791,480.9910623,16526.17343,65728.63233,25.02965088
Medium,E-Mobility,Normal,264668.6278,228412.0253,399736.9747,169402.5207,109620.6123,357654.8308,3561863.707,11.39610443
Large,Circular Economy,Low,64935.58541,95133.33563,92365.7114,41120.83733,31530.70346,35372.7472,919649.934,4.018233629
Small,E-Mobility,High,114514.4395,103622.0971,153462.8042,104781.4802,29993.57188,422109.3438,1525531.481,31.18230621
Small,Circular Economy,High,214559.2558,251345.5752,325563.277,106922.7969,83106.29133,368508.5447,1941334.882,17.30840561
Small,Circular Economy,Normal,217997.869,193915.9709,289096.1326,116416.5545,75448.19304,240734.2314,2755123.378,8.601093731
Medium,E-Mobility,Normal,-74043.78625,-115286.1664,-74333.68414,-41664.40016,-41291.47833,-173921.7587,-1522713.733,12.4657371
Large,E-Mobility,Low,20030.28033,44219.50991,64195.67863,28656.26554,9685.130529,27226.53774,429529.7358,5.854819967
Large,Circular Economy,High,34833.4115,95406.61521,88315.89138,51926.50632,14693.9102,651992.4991,1941208.093,30.79391216
Large,E-Mobility,High,37812.43909,60940.74643,93300.40922,54037.85506,46325.41093,145713.7846,949492.4548,16.78369533
